Age,Height_cm,Weight_kg,BMI,Activity_Level,Sleep_Hours,Water_Intake_ml,Healthy_Food_Count,Junk_Food_Count,Target_Health_Score,Target_Status
64,180,90.2,27.8,Light,4,2721,0,2,61,Good
42,198,82.5,21.0,Heavy,6,2482,0,1,85,Optimal
19,150,73.5,32.7,Moderate,4,1635,0,3,44,Moderate Risk
63,151,49.3,21.6,Heavy,8,1621,2,1,94,Optimal
23,158,68.6,27.5,Sitting,7,2713,1,2,69,Good
58,166,94.2,34.2,Light,4,3528,4,0,70,Good
62,171,89.4,30.6,Light,4,1798,3,1,58,Moderate Risk
48,158,41.6,16.7,Moderate,4,2610,4,3,70,Good
20,195,94.0,24.7,Moderate,4,1100,1,3,62,Good
40,178,113.4,35.8,Sitting,4,1064,1,1,36,High Risk
61,154,75.4,31.8,Sitting,5,4301,0,0,60,Good
64,177,91.2,29.1,Light,7,4460,5,0,94,Optimal
25,183,83.9,25.1,Heavy,7,4149,5,1,100,Optimal
37,170,52.0,18.0,Moderate,7,1331,2,3,73,Good
59,198,109.4,27.9,Light,5,3131,5,2,76,Good
62,148,52.7,24.1,Heavy,7,3208,0,0,100,Optimal
31,189,87.9,24.6,Heavy,4,3909,4,1,93,Optimal
26,163,73.7,27.7,Light,9,3429,0,0,86,Optimal
48,160,82.6,32.3,Sitting,7,1262,5,1,65,Good
44,163,90.5,34.1,Sitting,6,4392,5,3,57,Moderate Risk
32,179,70.8,22.1,Light,8,1817,4,0,93,Optimal
47,186,94.5,27.3,Light,7,2405,2,1,76,Good
36,182,92.7,28.0,Light,7,3227,5,2,86,Optimal
37,192,84.1,22.8,Moderate,6,2824,1,1,92,Optimal
24,163,49.9,18.8,Sitting,7,3860,4,3,78,Good
32,147,50.9,23.6,Light,6,3309,1,3,77,Good
43,153,59.7,25.5,Light,6,3057,0,0,85,Optimal
24,148,56.6,25.8,Moderate,6,3925,4,0,97,Optimal
64,161,89.5,34.5,Sitting,4,2934,0,1,46,Moderate Risk
56,198,91.8,23.4,Sitting,5,4202,2,0,79,Good
49,176,64.3,20.8,Sitting,6,3671,4,1,83,Optimal
60,153,60.3,25.8,Moderate,4,1901,1,3,56,Moderate Risk
21,144,32.2,15.5,Heavy,6,1434,4,0,88,Optimal
26,155,76.6,31.9,Sitting,5,2977,0,2,50,Moderate Risk
58,173,66.2,22.1,Sitting,7,1743,3,0,81,Optimal
41,158,59.5,23.8,Sitting,8,3973,2,3,74,Good
23,174,71.4,23.6,Sitting,8,2572,2,0,89,Optimal
55,180,80.2,24.8,Sitting,8,2791,3,3,76,Good
50,177,67.0,21.4,Moderate,9,3294,1,3,87,Optimal
32,142,22.7,11.3,Moderate,6,1637,2,2,63,Good
35,183,111.3,33.2,Heavy,6,1288,3,2,69,Good
18,168,70.9,25.1,Heavy,9,4179,4,3,93,Optimal
34,144,72.8,35.1,Moderate,5,1105,2,3,49,Moderate Risk
19,151,67.1,29.4,Light,9,3305,2,1,83,Optimal
60,142,79.6,39.5,Light,4,3081,3,3,45,Moderate Risk
18,141,59.1,29.7,Sitting,4,3056,5,2,58,Moderate Risk
47,173,96.4,32.2,Sitting,4,4079,3,2,51,Moderate Risk
47,142,64.3,31.9,Heavy,4,3114,0,3,60,Good
63,194,84.7,22.5,Heavy,8,3819,2,1,100,Optimal
26,198,111.7,28.5,Moderate,8,2656,1,0,92,Optimal
58,174,101.3,33.5,Sitting,4,2059,4,2,41,Moderate Risk
61,172,59.0,19.9,Moderate,5,2050,5,1,85,Optimal
62,200,100.3,25.1,Light,5,4081,1,3,67,Good
20,161,55.3,21.3,Light,5,3795,5,2,85,Optimal
35,200,110.5,27.6,Heavy,8,2023,3,3,78,Good
58,170,64.2,22.2,Heavy,7,3731,2,3,94,Optimal
36,173,112.7,37.7,Heavy,4,1380,0,1,51,Moderate Risk
43,147,42.2,19.5,Moderate,8,2246,1,2,82,Optimal
54,150,45.2,20.1,Light,9,3047,5,2,95,Optimal
18,164,44.5,16.5,Light,4,1054,1,1,59,Moderate Risk
35,173,56.4,18.8,Heavy,4,2153,5,1,85,Optimal
52,152,39.4,17.1,Moderate,7,1444,2,1,82,Optimal
53,160,76.5,29.9,Sitting,7,3250,3,0,79,Good
63,160,54.9,21.4,Light,9,2228,0,0,85,Optimal
34,197,87.1,22.4,Light,6,3742,3,2,86,Optimal
44,145,81.8,38.9,Moderate,5,3620,1,2,57,Moderate Risk
49,157,92.8,37.6,Heavy,5,2925,3,2,68,Good
46,174,97.2,32.1,Moderate,9,1984,0,2,65,Good
26,165,74.4,27.3,Light,6,1407,5,1,77,Good
23,184,85.9,25.4,Heavy,4,1570,5,0,85,Optimal
20,163,80.8,30.4,Sitting,8,1150,1,1,59,Moderate Risk
57,142,30.7,15.2,Light,5,4014,3,3,66,Good
26,194,96.4,25.6,Moderate,7,4016,5,2,95,Optimal
64,195,85.2,22.4,Light,5,3287,5,0,95,Optimal
65,162,44.4,16.9,Heavy,7,2254,4,1,90,Optimal
40,174,60.8,20.1,Heavy,8,2307,3,1,96,Optimal
25,178,113.3,35.8,Heavy,5,1248,5,0,74,Good
36,178,99.3,31.3,Heavy,7,1458,0,1,76,Good
47,183,74.4,22.2,Light,4,4264,1,2,72,Good
27,163,91.6,34.5,Heavy,8,2337,1,0,78,Good
65,170,100.8,34.9,Moderate,8,3866,1,0,83,Optimal
42,198,129.0,32.9,Sitting,4,3519,1,3,41,Moderate Risk
61,155,90.1,37.5,Light,5,2699,1,3,49,Moderate Risk
42,176,78.6,25.4,Sitting,5,3994,0,3,55,Moderate Risk
39,182,68.9,20.8,Heavy,6,3241,0,1,95,Optimal
51,141,34.2,17.2,Sitting,6,3742,0,1,68,Good
63,156,80.9,33.2,Sitting,6,3173,1,0,65,Good
57,186,122.3,35.4,Heavy,4,1501,1,0,62,Good
60,154,55.1,23.2,Sitting,7,3520,3,1,86,Optimal
43,170,79.9,27.6,Heavy,7,3844,0,2,87,Optimal
27,172,71.2,24.1,Light,6,3534,3,3,81,Optimal
59,183,101.7,30.4,Sitting,9,2032,5,2,62,Good
24,178,96.2,30.4,Moderate,8,1565,4,3,70,Good
57,171,90.6,31.0,Heavy,7,1643,4,1,84,Optimal
41,140,34.1,17.4,Light,8,1862,4,1,81,Optimal
23,164,59.7,22.2,Heavy,8,2029,0,0,95,Optimal
38,196,80.7,21.0,Moderate,6,2675,0,2,85,Optimal
40,154,62.3,26.3,Sitting,6,3655,5,2,74,Good
28,200,97.7,24.4,Heavy,8,2113,4,1,98,Optimal
48,143,44.3,21.7,Sitting,5,1723,0,0,65,Good
42,189,117.4,32.9,Light,4,1925,4,1,57,Moderate Risk
44,191,126.9,34.8,Light,7,1938,1,0,68,Good
25,143,52.8,25.8,Heavy,5,1167,4,0,87,Optimal
50,152,34.6,15.0,Light,8,2612,4,3,78,Good
64,157,42.3,17.2,Light,6,2543,4,1,86,Optimal
51,153,68.1,29.1,Light,8,3582,1,1,81,Optimal
40,148,41.2,18.8,Heavy,5,1747,4,2,83,Optimal
23,149,64.6,29.1,Sitting,9,1561,3,0,70,Good
34,159,46.7,18.5,Moderate,5,3306,4,0,98,Optimal
24,153,42.3,18.1,Light,6,3196,5,0,94,Optimal
25,180,90.1,27.8,Light,5,2016,3,2,62,Good
40,190,100.6,27.9,Sitting,4,1438,5,0,61,Good
53,196,114.2,29.7,Heavy,8,1931,2,2,77,Good
33,174,110.8,36.6,Light,7,3997,0,3,58,Moderate Risk
46,164,68.9,25.6,Light,7,4154,4,2,88,Optimal
33,163,97.0,36.5,Moderate,7,2442,1,3,55,Moderate Risk
42,142,76.7,38.0,Light,9,1152,3,0,67,Good
28,179,112.5,35.1,Heavy,7,3889,5,0,95,Optimal
20,163,97.9,36.8,Moderate,9,4022,0,2,68,Good
54,188,79.8,22.6,Heavy,4,2085,3,3,71,Good
42,169,74.6,26.1,Heavy,7,4383,3,1,100,Optimal
29,167,71.7,25.7,Moderate,9,1298,4,3,77,Good
26,185,82.3,24.0,Light,7,3136,0,2,85,Optimal
33,165,103.2,37.9,Light,9,4279,2,3,60,Good
43,193,75.8,20.3,Heavy,5,1013,4,2,83,Optimal
41,198,121.7,31.0,Moderate,6,3334,1,2,74,Good
48,141,63.5,31.9,Light,6,1827,4,1,68,Good
48,174,101.3,33.5,Moderate,9,3284,1,2,75,Good
24,196,98.0,25.5,Moderate,8,4259,5,3,90,Optimal
46,169,95.3,33.4,Sitting,6,3971,1,2,55,Moderate Risk
60,158,38.5,15.4,Light,5,3446,4,1,78,Good
27,198,126.5,32.3,Moderate,6,3761,2,1,79,Good
63,172,53.2,18.0,Light,9,1233,5,3,74,Good
22,164,90.7,33.7,Heavy,6,3464,5,1,87,Optimal
49,190,120.9,33.5,Heavy,6,2215,5,1,78,Good
36,186,106.6,30.8,Sitting,8,1685,4,1,65,Good
41,147,73.4,34.0,Light,8,1794,5,3,62,Good
56,163,89.2,33.6,Heavy,6,3228,1,0,85,Optimal
56,168,60.8,21.5,Heavy,5,4274,0,1,90,Optimal
30,196,131.6,34.3,Sitting,7,1887,1,2,49,Moderate Risk
20,173,90.8,30.3,Moderate,7,1742,4,2,76,Good
60,161,90.4,34.9,Light,5,3797,5,3,61,Good
18,190,106.0,29.4,Light,5,2004,1,2,56,Moderate Risk
42,193,105.1,28.2,Sitting,9,3842,5,1,81,Optimal
41,193,115.3,31.0,Moderate,5,3555,5,3,72,Good
54,168,59.5,21.1,Light,7,3969,4,1,98,Optimal
42,182,98.8,29.8,Sitting,9,2733,3,0,79,Good
58,199,119.6,30.2,Moderate,8,4442,2,2,82,Optimal
25,178,95.8,30.2,Light,9,1747,1,0,75,Good
46,142,39.7,19.7,Heavy,8,4426,0,1,100,Optimal
64,188,68.5,19.4,Light,5,3119,3,3,76,Good
28,200,102.9,25.7,Moderate,6,2337,4,3,72,Good
45,161,70.7,27.3,Moderate,7,2310,3,0,88,Optimal
54,167,97.7,35.0,Heavy,7,2312,2,1,74,Good
58,147,52.7,24.4,Sitting,6,2880,4,1,83,Optimal
51,195,121.7,32.0,Light,4,4210,4,2,63,Good
21,148,48.1,22.0,Heavy,5,3919,1,3,82,Optimal
52,184,108.8,32.1,Light,8,2149,2,3,59,Moderate Risk
19,142,61.8,30.6,Moderate,8,3687,4,2,85,Optimal
18,168,89.4,31.7,Heavy,6,2028,5,3,70,Good
39,168,48.5,17.2,Moderate,5,2639,2,3,72,Good
62,193,116.6,31.3,Heavy,9,3548,3,3,82,Optimal
23,152,38.7,16.8,Heavy,4,1193,3,0,78,Good
41,185,69.9,20.4,Light,9,1347,5,1,90,Optimal
44,140,63.1,32.2,Moderate,8,3848,3,2,81,Optimal
25,163,44.3,16.7,Heavy,6,2367,1,0,84,Optimal
32,176,89.4,28.9,Light,6,4393,5,2,80,Optimal
62,155,78.9,32.8,Heavy,8,4010,3,2,85,Optimal
20,179,73.0,22.8,Light,4,4469,4,1,83,Optimal
65,183,98.9,29.5,Heavy,5,1273,3,3,65,Good
43,142,44.2,21.9,Light,5,2478,3,2,71,Good
43,199,122.4,30.9,Moderate,6,4430,5,1,87,Optimal
64,155,93.2,38.8,Moderate,8,2035,0,2,55,Moderate Risk
60,148,59.7,27.3,Moderate,6,2428,5,3,72,Good
61,151,58.6,25.7,Moderate,4,4421,2,0,83,Optimal
55,176,76.3,24.6,Sitting,9,1036,1,0,77,Good
41,168,64.0,22.7,Light,4,1630,4,3,63,Good
37,167,64.5,23.1,Light,9,4452,2,2,89,Optimal
37,140,27.9,14.2,Heavy,9,2979,0,0,93,Optimal
18,191,81.3,22.3,Sitting,7,2916,1,1,82,Optimal
33,183,116.3,34.7,Light,7,3025,3,3,67,Good
38,181,91.1,27.8,Light,9,1973,4,1,79,Good
58,146,59.8,28.1,Moderate,5,1412,2,3,60,Good
23,146,60.3,28.3,Light,4,4007,2,1,70,Good
42,152,86.0,37.2,Light,4,3300,0,0,57,Moderate Risk
21,186,92.3,26.7,Moderate,9,2482,2,3,72,Good
54,191,97.7,26.8,Light,4,1128,5,3,58,Moderate Risk
58,192,91.1,24.7,Sitting,4,1316,3,2,56,Moderate Risk
46,195,77.3,20.3,Heavy,7,1391,2,0,99,Optimal
57,167,88.9,31.9,Light,8,1272,1,3,57,Moderate Risk
32,177,74.4,23.7,Sitting,4,3174,5,2,70,Good
52,148,30.5,13.9,Light,8,2473,2,2,67,Good
26,198,127.1,32.4,Moderate,7,4184,5,0,94,Optimal
37,183,103.2,30.8,Moderate,7,2265,4,2,75,Good
36,199,130.7,33.0,Light,7,1615,3,2,64,Good
55,156,93.1,38.3,Heavy,8,2061,4,0,79,Good
27,150,37.9,16.8,Light,9,3516,2,1,86,Optimal
30,166,86.9,31.5,Moderate,5,2104,2,3,55,Moderate Risk
35,179,115.8,36.1,Moderate,9,2386,5,2,69,Good
34,198,79.9,20.4,Heavy,8,3333,5,0,100,Optimal
49,200,123.3,30.8,Light,9,1654,0,1,67,Good
20,184,68.0,20.1,Sitting,7,4449,5,2,85,Optimal
41,158,63.4,25.4,Moderate,8,2491,3,0,91,Optimal
59,179,99.9,31.2,Sitting,9,2521,4,1,74,Good
34,157,47.2,19.1,Heavy,4,2686,5,3,85,Optimal
45,181,71.8,21.9,Heavy,4,1018,4,2,78,Good
37,182,106.5,32.2,Moderate,8,4424,3,1,86,Optimal
41,147,86.3,39.9,Sitting,8,1522,0,0,48,Moderate Risk
61,199,114.3,28.9,Light,5,4132,3,3,66,Good
52,140,23.7,12.1,Sitting,4,4476,3,2,51,Moderate Risk
46,200,106.8,26.7,Heavy,6,2556,0,1,88,Optimal
39,163,50.2,18.9,Light,6,1423,4,1,83,Optimal
18,167,65.1,23.3,Light,5,4451,4,1,88,Optimal
57,173,95.1,31.8,Moderate,7,2644,2,1,84,Optimal
51,142,23.1,11.5,Heavy,5,3373,4,1,82,Optimal
48,192,113.6,30.8,Heavy,8,1479,0,1,77,Good
58,194,118.4,31.5,Sitting,4,2532,2,3,45,Moderate Risk
47,170,62.5,21.6,Moderate,6,4027,2,2,89,Optimal
47,141,32.9,16.5,Moderate,8,3326,0,2,82,Optimal
38,193,126.1,33.9,Moderate,9,2949,2,0,86,Optimal
22,172,61.7,20.9,Sitting,6,1154,5,1,75,Good
55,192,74.0,20.1,Heavy,8,3438,3,2,100,Optimal
20,186,76.3,22.1,Sitting,4,3371,4,3,63,Good
35,167,76.8,27.5,Light,9,2865,1,1,84,Optimal
28,150,45.8,20.4,Moderate,8,4193,0,0,100,Optimal
46,170,91.7,31.7,Sitting,7,1447,3,2,56,Moderate Risk
37,159,55.6,22.0,Sitting,6,1554,0,1,65,Good
49,150,87.3,38.8,Moderate,6,2866,5,3,65,Good
41,162,46.8,17.8,Sitting,7,3364,0,3,64,Good
29,160,86.9,33.9,Sitting,9,2397,4,2,55,Moderate Risk
19,162,65.9,25.1,Moderate,6,4397,1,3,77,Good
52,169,71.6,25.1,Moderate,5,3125,3,0,91,Optimal
43,149,32.8,14.8,Light,5,3868,0,0,74,Good
37,199,135.9,34.3,Moderate,8,1762,1,0,74,Good
36,197,128.1,33.0,Heavy,4,3441,5,0,84,Optimal
38,197,80.8,20.8,Heavy,8,1063,1,2,87,Optimal
53,191,99.0,27.1,Sitting,4,1176,0,3,37,High Risk
65,190,91.5,25.3,Light,8,4327,5,0,100,Optimal
64,187,80.0,22.9,Sitting,6,2624,3,1,81,Optimal
35,175,81.0,26.4,Sitting,6,2824,2,0,77,Good
18,174,76.2,25.2,Sitting,8,2004,5,3,65,Good
30,156,39.7,16.3,Moderate,4,2311,5,3,61,Good
29,159,78.2,30.9,Moderate,5,4346,4,2,75,Good
65,185,115.5,33.7,Light,5,1528,0,2,47,Moderate Risk
39,172,87.0,29.4,Sitting,7,4374,5,1,79,Good
64,178,96.0,30.3,Heavy,7,1172,2,0,87,Optimal
64,167,100.7,36.1,Light,4,3779,4,1,62,Good
54,196,84.3,21.9,Heavy,4,3703,0,0,90,Optimal
52,188,90.9,25.7,Heavy,8,3927,4,3,92,Optimal
19,173,68.0,22.7,Moderate,6,4494,3,3,86,Optimal
63,172,54.5,18.4,Moderate,8,2467,1,0,87,Optimal
32,176,83.0,26.8,Light,7,3398,0,3,73,Good
23,181,88.1,26.9,Moderate,9,1293,1,1,80,Optimal
48,180,66.0,20.4,Light,9,3712,0,3,80,Optimal
44,149,74.2,33.4,Sitting,9,2111,1,1,55,Moderate Risk
54,157,79.4,32.2,Sitting,8,3551,3,1,71,Good
57,172,97.5,33.0,Sitting,4,4182,3,0,60,Good
40,172,103.6,35.0,Sitting,7,1343,5,2,56,Moderate Risk
60,177,58.9,18.8,Moderate,4,2014,5,2,75,Good
50,143,38.6,18.9,Light,5,4087,0,1,80,Optimal
63,158,70.0,28.0,Heavy,4,4037,1,3,68,Good
62,164,51.0,19.0,Sitting,5,2325,0,3,50,Moderate Risk
25,184,121.5,35.9,Light,6,4019,1,0,71,Good
62,144,24.9,12.0,Sitting,7,2975,1,0,72,Good
45,173,110.8,37.0,Sitting,6,3324,0,1,52,Moderate Risk
64,152,45.0,19.5,Sitting,5,2619,3,3,66,Good
54,182,105.4,31.8,Light,9,2257,2,2,64,Good
39,188,115.0,32.5,Light,4,3177,3,0,70,Good
28,185,111.7,32.6,Heavy,8,1547,5,1,84,Optimal
18,140,27.3,13.9,Heavy,5,1718,4,0,81,Optimal
22,152,78.1,33.8,Sitting,5,2564,2,3,46,Moderate Risk
35,185,123.5,36.1,Light,6,2386,2,1,58,Moderate Risk
35,191,90.7,24.9,Moderate,7,4446,1,0,100,Optimal
32,198,107.9,27.5,Heavy,7,1063,1,1,84,Optimal
45,174,79.5,26.3,Moderate,5,3174,0,3,69,Good
43,194,94.8,25.2,Light,6,3629,4,2,83,Optimal
53,159,51.7,20.5,Heavy,5,1871,5,1,90,Optimal
18,181,99.4,30.3,Light,4,1482,0,3,43,Moderate Risk
50,146,48.2,22.6,Heavy,9,1548,2,1,94,Optimal
50,172,89.0,30.1,Light,6,3918,3,2,74,Good
49,183,80.4,24.0,Moderate,7,3487,2,0,100,Optimal
52,141,44.5,22.4,Moderate,7,3857,2,1,99,Optimal
26,183,100.8,30.1,Sitting,6,1065,2,0,62,Good
39,190,105.8,29.3,Light,5,3138,1,1,71,Good
50,156,54.8,22.5,Moderate,8,1777,1,3,77,Good
55,144,81.8,39.4,Moderate,4,3384,4,2,57,Moderate Risk
18,155,83.3,34.7,Sitting,4,3571,5,3,46,Moderate Risk
37,193,90.3,24.2,Light,6,1154,3,2,76,Good
40,186,85.2,24.6,Moderate,6,1319,1,1,82,Optimal
20,151,73.3,32.1,Heavy,6,1479,1,3,62,Good
36,183,69.5,20.8,Sitting,8,1048,4,3,68,Good
47,194,104.5,27.8,Heavy,9,2181,0,1,81,Optimal
34,168,100.3,35.5,Moderate,5,1096,4,2,58,Moderate Risk
44,171,81.3,27.8,Sitting,4,3772,0,2,51,Moderate Risk
63,165,74.6,27.4,Sitting,5,3454,0,1,62,Good
65,179,87.2,27.2,Heavy,6,4110,5,1,97,Optimal
62,177,110.5,35.3,Light,8,1497,2,3,54,Moderate Risk
19,184,67.8,20.0,Light,9,2640,5,2,95,Optimal
65,178,100.7,31.8,Moderate,4,2368,5,3,55,Moderate Risk
38,143,27.2,13.3,Sitting,4,1133,0,1,42,Moderate Risk
29,181,68.9,21.0,Moderate,9,2929,4,2,98,Optimal
31,175,62.2,20.3,Light,7,2361,5,2,85,Optimal
31,197,110.6,28.5,Sitting,8,4189,5,1,80,Optimal
47,200,101.8,25.4,Light,9,3637,5,0,100,Optimal
58,162,85.5,32.6,Heavy,7,4461,1,2,81,Optimal
60,164,45.3,16.8,Sitting,8,3719,5,2,77,Good
52,188,105.2,29.8,Moderate,6,3948,3,1,84,Optimal
65,175,94.4,30.8,Light,5,1762,0,3,47,Moderate Risk
36,173,79.1,26.4,Heavy,6,2671,5,1,98,Optimal
35,153,91.9,39.3,Light,5,4301,3,3,50,Moderate Risk
41,195,107.7,28.3,Heavy,9,3569,5,1,100,Optimal
44,195,122.2,32.1,Heavy,6,1073,0,0,75,Good
38,193,107.0,28.7,Moderate,8,2319,1,3,67,Good
42,179,115.0,35.9,Heavy,6,2695,2,3,68,Good
35,140,76.3,38.9,Sitting,8,3603,0,3,45,Moderate Risk
54,140,71.5,36.5,Sitting,6,2607,1,0,60,Good
28,197,97.6,25.1,Moderate,4,1263,0,2,60,Good
20,140,30.5,15.6,Heavy,7,1903,5,1,90,Optimal
28,145,66.6,31.7,Sitting,7,4334,1,3,57,Moderate Risk
56,199,102.8,26.0,Heavy,7,1079,1,3,76,Good
29,148,54.7,25.0,Light,8,1933,4,3,78,Good
62,147,50.1,23.2,Sitting,6,3410,1,3,67,Good
65,178,83.2,26.3,Light,5,4494,1,1,76,Good
29,143,37.4,18.3,Moderate,7,2655,5,3,89,Optimal
59,167,97.4,34.9,Heavy,6,3413,2,3,70,Good
37,184,75.5,22.3,Moderate,9,1682,4,1,93,Optimal
21,194,91.9,24.4,Light,8,1124,0,0,85,Optimal
64,145,67.5,32.1,Heavy,7,2134,0,2,70,Good
63,171,101.3,34.6,Moderate,6,3801,2,0,80,Optimal
43,154,62.3,26.3,Heavy,5,3298,3,3,80,Optimal
49,150,33.3,14.8,Sitting,8,2867,1,3,61,Good
48,182,119.9,36.2,Sitting,9,1125,0,1,49,Moderate Risk
39,200,97.6,24.4,Sitting,4,3466,1,3,57,Moderate Risk
21,160,85.6,33.4,Sitting,7,1886,5,3,53,Moderate Risk
54,165,53.2,19.5,Sitting,4,1372,0,0,60,Good
25,182,93.5,28.2,Heavy,7,3613,4,3,89,Optimal
24,184,103.7,30.6,Light,6,1779,0,3,52,Moderate Risk
19,148,41.3,18.9,Heavy,9,3607,5,3,100,Optimal
36,172,74.8,25.3,Heavy,5,2940,4,1,93,Optimal
39,170,97.0,33.6,Sitting,4,3487,2,1,52,Moderate Risk
34,175,60.8,19.9,Moderate,7,3215,5,1,100,Optimal
49,189,108.2,30.3,Heavy,8,4391,3,0,99,Optimal
65,159,74.5,29.5,Light,8,3259,0,1,79,Good
32,156,87.9,36.1,Moderate,5,3188,2,2,63,Good
22,183,90.6,27.1,Sitting,8,1420,1,1,64,Good
55,142,33.7,16.7,Light,4,3991,0,0,72,Good
24,148,50.8,23.2,Light,9,3638,1,2,87,Optimal
39,171,88.5,30.3,Light,4,3535,1,0,70,Good
63,169,103.3,36.2,Moderate,4,1991,4,2,52,Moderate Risk
24,141,76.0,38.2,Light,5,2170,1,0,53,Moderate Risk
62,159,90.7,35.9,Light,5,3566,0,0,64,Good
55,164,52.6,19.6,Moderate,4,3365,1,0,87,Optimal
50,176,98.4,31.8,Heavy,5,1048,5,3,65,Good
65,172,93.1,31.5,Moderate,6,2660,5,1,86,Optimal
36,142,70.2,34.8,Light,8,4036,0,3,61,Good
27,168,96.5,34.2,Moderate,6,2915,3,2,73,Good
51,179,76.6,23.9,Sitting,5,2845,5,3,70,Good
62,148,41.4,18.9,Sitting,4,1900,2,0,64,Good
28,162,52.9,20.2,Moderate,5,2340,4,1,83,Optimal
24,144,36.5,17.6,Light,8,3284,5,0,98,Optimal
25,179,80.7,25.2,Heavy,8,1373,4,1,93,Optimal
50,170,52.8,18.3,Heavy,8,4288,2,1,98,Optimal
48,167,74.6,26.7,Heavy,4,2463,3,1,74,Good
49,185,84.1,24.6,Moderate,6,3260,0,1,90,Optimal
62,199,135.8,34.3,Sitting,4,1266,1,3,29,High Risk
47,184,74.9,22.1,Heavy,4,4494,4,2,88,Optimal
35,198,84.8,21.6,Heavy,4,2760,3,1,91,Optimal
35,190,72.3,20.0,Sitting,7,3398,3,3,76,Good
51,163,79.3,29.8,Heavy,8,4130,1,3,80,Optimal
28,181,118.7,36.2,Light,9,3179,0,3,59,Moderate Risk
46,152,42.9,18.6,Heavy,8,3480,3,0,100,Optimal
39,151,77.8,34.1,Moderate,9,2038,2,0,76,Good
20,197,115.3,29.7,Moderate,5,1863,4,3,61,Good
57,141,44.3,22.3,Heavy,6,2824,0,3,85,Optimal
51,160,40.2,15.7,Light,4,1044,5,2,61,Good
42,163,62.2,23.4,Heavy,9,3428,4,0,100,Optimal
28,181,114.4,34.9,Sitting,4,4195,4,2,49,Moderate Risk
56,143,52.8,25.8,Light,9,1537,5,0,89,Optimal
53,200,83.9,21.0,Moderate,7,2778,0,2,90,Optimal
33,196,96.5,25.1,Sitting,8,2932,1,1,77,Good
47,172,93.6,31.6,Moderate,6,1598,5,1,76,Good
46,155,81.1,33.8,Light,4,4467,2,1,61,Good
26,162,63.4,24.2,Moderate,9,2907,2,1,99,Optimal
65,148,49.2,22.5,Heavy,4,1429,0,1,75,Good
47,148,37.2,17.0,Light,6,2084,3,0,78,Good
55,188,70.1,19.8,Sitting,6,2167,0,2,60,Good
43,182,71.8,21.7,Sitting,8,2984,2,1,84,Optimal
59,180,97.1,30.0,Light,8,1735,0,3,58,Moderate Risk
21,141,33.9,17.1,Moderate,6,3471,0,0,88,Optimal
19,174,106.8,35.3,Sitting,5,3626,4,0,63,Good
24,186,91.2,26.4,Sitting,4,2719,3,0,69,Good
62,184,112.7,33.3,Heavy,9,1891,4,2,76,Good
56,158,45.8,18.3,Sitting,7,2637,2,0,83,Optimal
60,165,67.9,24.9,Moderate,8,3852,5,1,100,Optimal
29,161,93.4,36.0,Heavy,7,3045,5,3,79,Good
64,157,69.6,28.2,Light,5,2042,0,3,51,Moderate Risk
47,171,109.1,37.3,Moderate,9,2081,1,0,69,Good
30,155,43.5,18.1,Sitting,7,2481,2,1,68,Good
64,164,57.7,21.5,Moderate,9,1135,2,3,79,Good
31,181,88.2,26.9,Sitting,9,4361,3,2,74,Good
59,158,62.4,25.0,Moderate,9,2408,1,2,82,Optimal
45,200,139.1,34.8,Moderate,7,1993,0,3,56,Moderate Risk
38,171,97.4,33.3,Moderate,4,4387,1,2,60,Good
60,145,70.1,33.3,Heavy,9,4341,2,1,87,Optimal
24,192,108.6,29.5,Moderate,7,4123,4,3,82,Optimal
58,191,131.0,35.9,Moderate,6,2016,5,3,59,Moderate Risk
36,193,83.2,22.3,Heavy,9,1789,1,1,92,Optimal
32,144,56.5,27.2,Moderate,7,2780,2,3,81,Optimal
39,151,86.9,38.1,Moderate,4,4382,5,0,71,Good
20,189,122.5,34.3,Light,4,1376,1,2,44,Moderate Risk
49,175,78.4,25.6,Heavy,6,1499,5,0,95,Optimal
42,188,68.9,19.5,Heavy,9,3337,1,3,92,Optimal
36,176,75.6,24.4,Heavy,8,2201,0,1,90,Optimal
21,186,104.4,30.2,Heavy,6,1510,3,3,69,Good
24,188,89.0,25.2,Heavy,5,2905,2,0,94,Optimal
20,193,128.9,34.6,Light,6,3571,0,0,71,Good
59,165,64.8,23.8,Moderate,9,3074,5,3,95,Optimal
24,179,101.5,31.7,Moderate,5,2481,3,1,66,Good
53,150,77.5,34.4,Moderate,6,3010,4,1,79,Good
29,185,105.0,30.7,Moderate,9,3321,4,2,85,Optimal
42,170,96.4,33.4,Heavy,7,3350,3,2,84,Optimal
50,184,80.1,23.7,Light,5,3520,5,2,85,Optimal
64,176,60.6,19.6,Moderate,5,1435,1,3,67,Good
62,194,130.4,34.6,Light,9,3425,4,0,84,Optimal
57,193,121.8,32.7,Moderate,4,2075,4,0,67,Good
33,189,126.8,35.5,Light,4,4192,5,2,60,Good
42,145,34.5,16.4,Light,4,1461,0,1,57,Moderate Risk
40,195,109.3,28.7,Heavy,9,4447,2,2,89,Optimal
31,162,88.6,33.8,Light,8,1029,4,2,65,Good
27,154,34.5,14.5,Moderate,5,3529,4,1,82,Optimal
23,180,64.5,19.9,Heavy,7,3673,3,0,100,Optimal
38,173,95.0,31.7,Light,4,1269,1,0,57,Moderate Risk
27,178,61.0,19.3,Light,6,1538,4,0,88,Optimal
